id,site,observer,date,day,month,year,date_format,juldate,start_time,timeformat,time_interval,species,species_format,dist1,dist2,dist3,dist4,dist5,total,detection,detection_format,temp,sky,wind,x,y,accuracy,location_notes,general_notes
angeparva1-171-2013-2,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,2,HOWR,howr,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-2,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,2,NOCA,noca,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-2,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,2,HOSP,hosp,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-2,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,2,SOSP,sosp,.,.,.,.,1,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,EUST,eust,.,1,.,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,HOSP,hosp,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,HOWR,howr,.,.,1,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,NOCA,noca,.,1,.,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,AMRO,amro,.,1,.,.,.,1,V,v,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,COGR,cogr,.,1,.,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,GRCA,grca,.,1,.,.,.,1,V,v,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,AMRO,amro,.,.,1,.,.,1,V,v,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,AMRO,amro,1,.,.,.,.,1,V,v,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,NOCA,noca,.,.,.,1,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,RBWO,rbwo,.,1,.,.,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
angeparva1-171-2013-5,angeparva1,jah,20/06/2013,20,6,2013,6/20/2013,171,7:40:00,740,5,CARW,carw,.,.,.,1,.,1,A,a,70,0,0,319887,4297788,7,WP 484,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,NOCA,noca,1,.,.,.,1,2,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,AMGO,amgo,.,.,.,1,.,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,HOSP,hosp,2,1,.,.,.,3,V/A,v/a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,AMRO,amro,1,.,1,1,.,3,V/A,v/a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,SOSP,sosp,.,.,.,.,1,1,A,a,80,2,0,.,.,.,Mulberry active,.
blocdavmd1-179-2013-3,blocdavmd1,tag,28/06/13,28,6,2013,6/28/2013,179,7:31:00,731,3,GRCA,grca,1,.,.,1,.,2,A,a,80,2,0,.,.,.,Mulberry active,.
