plantspecies,genus,taxa origin,genus_origin (via DT),leaftype,family,Total Lep spp,Exotic Lep spp,Native Lep spp,group,correctedlep,notes,paired_congener,congener
kerria japonica,kerria,non-native,non-native,deciduous,rosaceae,0,0,0,kerria-exotic,0,,exotic,exotic
kousa dogwood,cornus,non-native,native,deciduous,Cornaceae,118,2,116,cornus-exotic,21.24,,exotic congener,exotic congener
lacebark elm,ulmus,non-native,native,deciduous,Ulmaceae,215,9,206,ulmus-exotic,38.7,also called chinese elm,exotic congener,exotic congener
lacebark pine,pinus,non-native,native,conifer,Pinaceae,201,10,191,pinus-exotic,36.18,,exotic congener,exotic congener
laurel,laurus,non-native,non-native,deciduous,Lauraceae,2,0,2,laurus-exotic,2,,exotic,exotic
leatherleaf viburnum,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,,exotic congener,exotic congener
leyland cypress,cupressus,non-native,native,conifer,Cupressaceae,7,0,7,cupressus-exotic,1.26,,exotic,exotic congener
lilac,syringa,non-native,non-native,deciduous,Oleaceae,40,5,35,syringa-exotic,40,,exotic,exotic
lily magnolia,magnolia,non-native,native,deciduous,Magnoliaceae,21,0,21,magnolia-exotic,3.78,a parent species to saucercup,exotic congener,exotic congener
linden sp.,tilia,unknown,native,deciduous,Tiliaceae,149,7,142,tilia-unknown,149,,unknown,unknown
linden viburnum,viburnum,non-native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-exotic,18.72,,exotic congener,exotic congener
little leaf linden,tilia,non-native,native,deciduous,Tiliaceae,149,7,142,tilia-exotic,26.82,,exotic congener,exotic congener
loblolly pine,pinus,native,native,conifer,Pinaceae,201,10,191,pinus-native,201,,native congener,native
locust sp.,.,unknown,unknown,deciduous,Fabaceae,.,.,.,.-unknown,.,,unknown,unknown
lombardy poplar,populus,non-native,native,deciduous,Salicaceae,367,9,358,populus-exotic,66.06,,exotic congener,exotic congener
london planetree,platanus,non-native,native,deciduous,Platanaceae,45,3,42,platanus-exotic,8.1,,exotic congener,exotic congener
lowbush blueberry,vaccinium,native,native,deciduous,Ericaceae,294,8,286,vaccinium-native,294,,native,native
mahonia,mahonia,non-native,non-native,deciduous,Berberidaceae,0,0,0,mahonia-exotic,0,,exotic,exotic
mandevilla,mandevilla,non-native,non-native,deciduous,Apocynaceae,1,.,.,mandevilla-non-native,1,from HOSTS database,exotic,exotic
maple leaf viburnum,viburnum,native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-native,104,,native congener,native
maple sp.,acer,unknown,native,deciduous,Sapindaceae,297,10,287,acer-unknown,297,,unknown,unknown
mapleleaf hydrangea,hydrangea,native,native,deciduous,Hydrangeaceae,5,0,5,hydrangea-native,5,,native congener,native
mimosa,albizia,non-native,non-native,deciduous,fabaceae,5,2,3,albizia-exotic,5,,exotic,exotic
mockernut hickory,carya,native,native,deciduous,Juglandaceae,235,2,233,carya-native,235,,native,native
monkey puzzle tree,araucaria,non-native,non-native,conifer,Araucariaceae,0,0,0,araucaria-exotic,0,leps from HOSTS,exotic,exotic
mountain laurel,kalmia,native,native,deciduous,Ericaceae,33,2,31,kalmia-native,33,,native,native
mulberry,morus,non-native,native,deciduous,Moraceae,9,3,6,morus-exotic,1.62,,exotic,exotic congener
multiflora rose,rosa,non-native,native,deciduous,rosaceae,135,13,122,rosa-exotic,24.3,,exotic congener,exotic congener
nandina,nandina,non-native,non-native,deciduous,Berberidaceae,0,0,0,nandina-exotic,0,,exotic,exotic
nanking cherry,prunus,non-native,native,deciduous,Rosaceae,456,27,429,prunus-exotic,82.08,,exotic congener,exotic congener
nannyberry,viburnum,native,native,deciduous,Caprifoliaceae,104,6,98,viburnum-native,104,,native congener,native
