site,date,point,treespp,treespp_format,check,dbh1,dbh2,dbh3,dbh4,dbh5,dbh6,dbh7,dbh8,dbh9,dbh10,dbh11,dbh12,dbh13,dbh14,dbh15,dbh16,dbh17,dbh18,dbh19,dbh20,dbh21,dbh22,height,height_to_crown,Width1,width2,Condition,notes,year,notes
angeparva1,6/12/2014,3,sumac,sumac,sumac,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.5,0,0.25,0.5,p,.,2014,
angeparva1,6/12/2014,3,black cherry,black cherry,black cherry,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,2,2,p,.,2014,
angeparva1,6/12/2014,3,black cherry,black cherry,black cherry,3.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,2,2,p,.,2014,
angeparva1,6/12/2014,3,black cherry,black cherry,black cherry,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0,2,2,p,.,2014,
angeparva1,6/12/2014,3,black cherry,black cherry,black cherry,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,0.25,0.5,0.25,p,.,2014,
barndormd1,6/19/2014,nestbox,flowering dogwood,flowering dogwood,flowering dogwood,7,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,1,3,3,p,.,2014,
barndormd1,6/19/2014,nestbox,crabapple,crabapple,crabapple,4,3,2,4,4,4,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4.5,0.5,1.5,1.5,p,.,2014,
barndormd1,6/19/2014,nestbox,japanese maple,japanese maple,japanese maple,12,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,1,6,6,p,.,2014,
barndormd1,6/19/2014,nestbox,witchhazel,witchhazel,witchhazel,5,12,5,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,0.5,2.5,2.5,p,.,2014,
barndormd1,6/19/2014,nestbox,flowering dogwood,flowering dogwood,flowering dogwood,12,6,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,1.5,4,4,p,.,2014,
barndormd1,6/19/2014,nestbox,flowering dogwood,flowering dogwood,flowering dogwood,15,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,1,4,4,p,.,2014,
barndormd1,6/19/2014,nestbox,japanese maple,japanese maple,japanese maple,3,0.5,0.5,0.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,2,2,p,.,2014,
barndormd1,6/19/2014,nestbox,redbud,redbud,redbud,12,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,1.5,5,5,p,.,2014,
barndormd1,6/19/2014,1,mulberry,mulberry,mulberry,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,7,6.5,6.5,unknown,.,2014,
barndormd1,6/19/2014,1,mulberry,mulberry,mulberry,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,6,5,5,unknown,.,2014,
barndormd1,6/19/2014,1,black cherry,black cherry,black cherry,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,4,5,5,unknown,.,2014,
barndormd1,6/19/2014,1,norway maple,norway maple,norway maple,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,3,6,6,p,.,2014,
barndormd1,6/19/2014,2,beech,beech,beech,75,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,5,12,12,r,.,2014,
barndormd1,6/19/2014,2,redbud,redbud,redbud,3,2,1,3,3,3,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,1.5,6,6,p,.,2014,
barndormd1,6/19/2014,3,japanese maple,japanese maple,japanese maple,22,20,15,10,3,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,1.5,8,8,p,.,2014,
barndormd1,6/19/2014,3,blue spruce,blue spruce,blue spruce,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,4,8,8,unknown,.,2014,white spruce
barndormd1,6/19/2014,4,chestnut oak,chestnut oak,chestnut oak,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,5,3,3,unknown,.,2014,
barndormd1,6/19/2014,4,chestnut oak,chestnut oak,chestnut oak,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,5,3,3,unknown,.,2014,
barndormd1,6/19/2014,4,chestnut oak,chestnut oak,chestnut oak,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,5,6,6,unknown,.,2014,
barndormd1,6/19/2014,4,chestnut oak,chestnut oak,chestnut oak,40,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,5,6,6,unknown,.,2014,
barndormd1,6/19/2014,4,rhododendron,rhododendron,rhododendron,2,2,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1,3,3,p,.,2014,
barndormd1,6/19/2014,4,american holly,american holly,american holly,3,2,1,3,3,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,0.5,2,2,p,.,2014,
barndormd1,6/19/2014,4,flowering dogwood,flowering dogwood,flowering dogwood,1,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0.5,1.5,1.5,p,.,2014,
barndormd1,6/19/2014,4,pignut hickory,pignut hickory,pignut hickory,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,2.5,6,6,unknown,.,2014,
barndormd1,6/19/2014,4,flowering dogwood,flowering dogwood,flowering dogwood,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,8,4,3,3,p,.,2014,
benskatva1,6/15/2014,nestbox,bradford pear,bradford pear,bradford pear,11,11,8,8,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,2,3,3,p,.,2014,
benskatva1,6/15/2014,nestbox,american holly,american holly,american holly,12,12,10,10,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,0,2,2,r,.,2014,
benskatva1,6/15/2014,nestbox,mountain laurel,mountain laurel,mountain laurel,3,3,1.5,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,1,1.5,p,.,2014,
benskatva1,6/15/2014,nestbox,mountain laurel,mountain laurel,mountain laurel,3,3,1.5,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,0,1,1.5,p,.,2014,
benskatva1,6/15/2014,nestbox,american holly,american holly,american holly,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,3,2,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,1.5,6,5,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,1.5,6,5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,15,3,5,5,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1.5,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,black gum,black gum,black gum,4.7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,1.5,1,2,r,.,2014,
benskatva1,6/15/2014,nestbox,cedar sp.,cedar sp.,cedar sp.,9.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,0,1,1,p,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,30,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,12,5,5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,1.5,4,4,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6,1.5,3,3,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,chestnut oak,chestnut oak,chestnut oak,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
benskatva1,6/15/2014,nestbox,red maple,red maple,red maple,1.5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2,1.5,1.5,r,.,2014,
